player_owner_code_id,player_owner_code,poc_desc,emittente_id,emittente,emi_desc
1,15866303,RAI,1,0001,RAI 1                                             
1,15866303,RAI,2,0002,RAI 2                                             
1,15866303,RAI,3,0003,RAI 3                                             
1,15866303,RAI,587,3021,Rai Premium
1,15866303,RAI,588,3022,Rai Sport piu HD
1,15866303,RAI,589,3023,tgr
1,15866303,RAI,590,3024,Rai Radio 2
1,15866303,RAI,591,3025,rai digital
1,15866303,RAI,88,6055,RAI MOVIE                                         
1,15866303,RAI,89,6058,RAI PREMIUM                                       
1,15866303,RAI,125,6095,RAI NEWS                                          
1,15866303,RAI,146,6130,RAI SPORT                                         
1,15866303,RAI,149,6131,RAI SCUOLA                                        
1,15866303,RAI,150,6132,RAI STORIA                                        
1,15866303,RAI,151,6134,RAI GULP                                          
1,15866303,RAI,154,6169,RAI YOYO                                          
1,15866303,RAI,198,6367,RAI SPORT                                         
1,15866303,RAI,252,6824,RAI 4                                             
1,15866303,RAI,294,7936,RAI 5                                             
1,15866303,RAI,0,NotI,Not Informed
2,20043547,Discovery,80,6038,DISCOVERY CHANNEL/HD                              
2,20043547,Discovery,123,6083,EUROSPORT/HD                                      
2,20043547,Discovery,127,6096,EUROSPORT 2                                       
2,20043547,Discovery,137,6115,DISCOVERY SCIENCE                                 
2,20043547,Discovery,138,6117,DISCOVERY TRAVEL & LIVING                         
2,20043547,Discovery,139,6119,REAL TIME                                         
2,20043547,Discovery,140,6120,ANIMAL PLANET                                     
2,20043547,Discovery,420,6278,Home and garden TV
2,20043547,Discovery,176,6287,DISCOVERY CHANNEL +1                              
2,20043547,Discovery,182,6305,K2                                                
2,20043547,Discovery,200,6368,FRISBEE                                           
2,20043547,Discovery,201,6388,REAL TIME +1                                      
2,20043547,Discovery,210,6433,DMAX                                              
2,20043547,Discovery,224,6513,DEEJAY TV                                         
2,20043547,Discovery,239,6659,FOOD NETWORK                                      
2,20043547,Discovery,285,7739,GIALLO                                            
2,20043547,Discovery,291,7807,DEEJAY TV +1                                      
2,20043547,Discovery,311,8285,ID - INVESTIGATION DISCOVERY                      
2,20043547,Discovery,315,8465,FOCUS                                             
2,20043547,Discovery,340,9650,HGTV - HOME & GARDEN                              
2,20043547,Discovery,356,9742,DMAX +1                                           
2,20043547,Discovery,0,NotI,Not Informed
3,25391484,La7,7,0013,LA7                                               
3,25391484,La7,246,6773,LA7D                                              
3,25391484,La7,0,NotI,Not Informed
4,6034891,Sky Italia,8,0023,7 GOLD TELECITY LIGURIA                           
4,6034891,Sky Italia,9,0024,7 GOLD                                            
4,6034891,Sky Italia,12,0027,MUSIC                                             
4,6034891,Sky Italia,421,0029,Fox +1
4,6034891,Sky Italia,422,0030,Sky Cinema Comedy HD
4,6034891,Sky Italia,13,0031,VIDEOGRUPPO                                       
4,6034891,Sky Italia,423,0033,FoxCrime Criminal
4,6034891,Sky Italia,14,0034,ANTENNATRE                                        
4,6034891,Sky Italia,424,0035,Sky Sport24 HD
4,6034891,Sky Italia,425,0037,Sky Sport24 HD
4,6034891,Sky Italia,15,0038,ESPANSIONE TV                                     
4,6034891,Sky Italia,426,0040,Sky Sport24 HD
4,6034891,Sky Italia,17,0047,TELELOMBARDIA                                     
4,6034891,Sky Italia,428,0057,History Misteri
4,6034891,Sky Italia,429,0058,NationalGeo +1
4,6034891,Sky Italia,430,0074,Sky Arte HD
4,6034891,Sky Italia,431,0075,Sky Arte HD
4,6034891,Sky Italia,432,0101,Sky Cinema Uno
4,6034891,Sky Italia,433,0103,Fox News
4,6034891,Sky Italia,434,0105,Sky Cinema Family
4,6034891,Sky Italia,435,0107,Sky Cinema Uno +24
4,6034891,Sky Italia,436,0108,Sky News
4,6034891,Sky Italia,30,0110,RTV 38                                            
4,6034891,Sky Italia,437,0115,Sky Cinema Action
4,6034891,Sky Italia,438,0116,GINX Esports TV
4,6034891,Sky Italia,439,0117,Discovery HD
4,6034891,Sky Italia,440,0120,cielo HD
4,6034891,Sky Italia,441,0123,Sky Cinema Romance
4,6034891,Sky Italia,442,0137,Sky Cinema Due
4,6034891,Sky Italia,443,0150,Eurosport 2 HD
4,6034891,Sky Italia,444,0151,Sky Cinema Suspense
4,6034891,Sky Italia,445,0170,Classica HD
4,6034891,Sky Italia,36,0180,TELEDUE                                           
4,6034891,Sky Italia,446,0202,Sky Cinema Uno HD
4,6034891,Sky Italia,447,0204,Sky Cinema HD
4,6034891,Sky Italia,448,0206,Sky Cinema Action HD
4,6034891,Sky Italia,449,0209,Sky Sport Serie A HD
4,6034891,Sky Italia,37,0211,TGS TELEGIORNALE SICILIA                          
4,6034891,Sky Italia,450,0215,Sky Sport
4,6034891,Sky Italia,451,0224,Sky Cinema Uno +24 HD
4,6034891,Sky Italia,452,0226,Sky Atlantic HD
4,6034891,Sky Italia,453,0227,NOVE HD
4,6034891,Sky Italia,454,0228,Gambero Rosso HD
4,6034891,Sky Italia,455,0229,Gambero Rosso HD
4,6034891,Sky Italia,456,0230,Sky Sport Serie A HD
4,6034891,Sky Italia,457,0231,Sky Cinema Romance HD
4,6034891,Sky Italia,458,0233,Sky Sport HD
4,6034891,Sky Italia,459,0234,Sky Sport HD
4,6034891,Sky Italia,460,0236,NationalGeo HD
4,6034891,Sky Italia,461,0237,Fox HD
4,6034891,Sky Italia,462,0238,Fox Crime HD
4,6034891,Sky Italia,463,0245,CNBC HD
4,6034891,Sky Italia,464,0248,Sky Sport Football HD
4,6034891,Sky Italia,465,0249,Crime + Inv. HD
4,6034891,Sky Italia,466,0255,Sky Cinema Family HD
